timestamp,accel_x,accel_y,accel_z
19997,-10.64,-4.51,12.70
20021,-7.02,3.19,10.10
20044,3.20,10.53,10.16
20068,9.68,10.41,12.16
20091,9.64,3.85,11.94
20115,5.70,-2.83,8.08
20138,-4.42,-10.33,9.22
20162,-10.06,-10.70,13.52
20185,-9.63,-1.29,11.34
20209,-4.01,6.62,9.91
20232,7.70,11.27,10.86
20256,10.47,8.89,13.42
20280,7.51,-0.39,9.39
20304,-1.97,-8.98,7.75
20327,-8.78,-11.33,12.41
20351,-10.56,-3.91,12.47
20374,-6.12,4.19,9.99
20398,5.14,10.80,10.35
20421,10.18,10.26,12.75
20445,8.89,2.12,11.04
20468,4.61,-3.86,7.56
20492,-5.73,-10.69,10.03
20515,-10.29,-10.16,13.80
20539,-9.36,-0.79,11.11
20562,-3.97,6.71,9.92
20586,7.28,11.07,10.83
20609,10.34,9.25,13.24
20633,8.16,0.47,10.00
20656,2.85,-5.54,7.13
20680,-7.44,-11.04,11.35
20703,-10.78,-8.88,13.92
20727,-8.22,1.37,10.47
20750,1.01,9.66,10.07
20774,8.51,10.75,11.32
20797,10.07,5.94,12.92
